xmltv_id,site_id,name,channelNumber,logoUrl
o2-777,Africké nebe,Africké nebe,777,https://assets.o2tv.cz/assets/images/tv-logos/original/afrika.png
o2-888,Akvárium,Akvárium,888,https://assets.o2tv.cz/assets/images/tv-logos/original/akvarium.png
o2-149,Al Jazeera,Al Jazeera,149,https://assets.o2tv.cz/assets/images/tv-logos/original/aljazeera.png
o2-60,Animal Planet HD,Animal Planet HD,60,https://assets.o2tv.cz/assets/images/tv-logos/original/animal-planet-hd.png
o2-115,AutoMotorSport HD,Auto Motor Sport HD,115,https://assets.o2tv.cz/assets/images/tv-logos/original/auto-motor-und-sport.png
o2-47,AXN,AXN,47,https://assets.o2tv.cz/assets/images/tv-logos/original/axn-20230123.png
o2-18,BBC World News,BBC World News,18,https://assets.o2tv.cz/assets/images/tv-logos/original/bbc-world-news.png
o2-145,Bloomberg,Bloomberg,145,https://assets.o2tv.cz/assets/images/tv-logos/original/bloomberg.png
o2-97,Boomerang,Cartoonito,97,https://assets.o2tv.cz/assets/images/tv-logos/original/boomerang.png
o2-96,Cartoon Network,Cartoon Network HD,96,https://assets.o2tv.cz/assets/images/tv-logos/original/cn.png
o2-33,Cinemax HD,Cinemax HD,33,https://assets.o2tv.cz/assets/images/tv-logos/original/cinemax-hd.png
o2-34,Cinemax 2 HD,Cinemax 2 HD,34,https://assets.o2tv.cz/assets/images/tv-logos/original/cinemax2-hd.png
o2-127,MTV Dance,Club MTV,127,https://assets.o2tv.cz/assets/images/tv-logos/original/mtv-dance.png
o2-141,CNNPrimaNews,CNN Prima News,141,https://assets.o2tv.cz/assets/images/tv-logos/original/prima-cnn.png
o2-142,CNN,CNN,142,https://assets.o2tv.cz/assets/images/tv-logos/original/cnn.png
o2-63,CrimeInvestigation,Crime+Investigation,63,https://assets.o2tv.cz/assets/images/tv-logos/original/crime-investigation.png
o2-38,CS Film,CS Film,38,https://assets.o2tv.cz/assets/images/tv-logos/original/cs-film.png
o2-61,CSHistory,CS History,61,https://assets.o2tv.cz/assets/images/tv-logos/original/cs-history.png
o2-49,HOROR FILM,CS Horror,49,https://assets.o2tv.cz/assets/images/tv-logos/original/horror-film.png
o2-99,ČT :D HD / ČT art HD,ČT :D HD / ČT art HD,99,https://assets.o2tv.cz/assets/images/tv-logos/original/ct-d-hd.png
o2-76,ČT sport HD,ČT sport HD,76,https://assets.o2tv.cz/assets/images/tv-logos/original/ct-sport-hd.png
o2-1,ČT1 HD,ČT1 HD,1,https://assets.o2tv.cz/assets/images/tv-logos/original/ct1-hd.png
o2-181,ČT1 Jih,ČT1 JM,181,https://assets.o2tv.cz/assets/images/tv-logos/original/ct1.png
o2-180,ČT1 Sever,ČT1 SM,180,https://assets.o2tv.cz/assets/images/tv-logos/original/ct1.png
o2-2,ČT2 HD,ČT2 HD,2,https://assets.o2tv.cz/assets/images/tv-logos/original/ct2-hd.png
o2-17,ČT24 HD,ČT24 HD,17,https://assets.o2tv.cz/assets/images/tv-logos/original/ct24-hd.png
o2-147,Deutsche Welle,Deutsche Welle,147,https://assets.o2tv.cz/assets/images/tv-logos/original/deutsche-welle.png
o2-56,Discovery,Discovery HD,56,https://assets.o2tv.cz/assets/images/tv-logos/original/discovery_hd.png
o2-58,Discovery Science,Discovery Science,58,https://assets.o2tv.cz/assets/images/tv-logos/original/discovery-science.png
o2-90,Disney Channel,Disney Channel,90,https://assets.o2tv.cz/assets/images/tv-logos/original/disney-channel-20221109.png
o2-57,DTX,DTX,57,https://assets.o2tv.cz/assets/images/tv-logos/original/dtx.png
o2-98,ducktv,ducktv,98,https://assets.o2tv.cz/assets/images/tv-logos/original/ducktv.png
o2-163,Dvojka,Dvojka,163,https://assets.o2tv.cz/assets/images/tv-logos/original/dvojka.png
o2-87,EdgeSportHD,Edge Sport HD,87,https://assets.o2tv.cz/assets/images/tv-logos/original/edge-sport-hd.png
o2-39,Epic Drama HD,Epic Drama HD,39,https://assets.o2tv.cz/assets/images/tv-logos/original/epic-hd.png
o2-82,Eurosport 1 HD,Eurosport 1 HD,82,https://assets.o2tv.cz/assets/images/tv-logos/original/eurosport-hd.png
o2-83,Eurosport 2 HD,Eurosport 2 HD,83,https://assets.o2tv.cz/assets/images/tv-logos/original/eurosport2-hd.png
o2-116,Fashion TV,Fashion TV,116,https://assets.o2tv.cz/assets/images/tv-logos/original/fashion-tv.png
o2-86,FightBoxHD,FightBox HD,86,https://assets.o2tv.cz/assets/images/tv-logos/original/fightbox.png
o2-35,Filmbox Extra HD,FilmBox Extra HD,35,https://assets.o2tv.cz/assets/images/tv-logos/original/film-box-extra-hd.png
o2-37,Filmbox Family,Filmbox Family,37,https://assets.o2tv.cz/assets/images/tv-logos/original/filmbox-family.png
o2-23,Filmbox,Filmbox HD,23,https://assets.o2tv.cz/assets/images/tv-logos/original/film-box.png
o2-24,Filmbox Premium HD,Filmbox Premium HD,24,https://assets.o2tv.cz/assets/images/tv-logos/original/filmbox-premium-hd.png
o2-36,FilmBox Plus,FilmBox Stars,36,https://assets.o2tv.cz/assets/images/tv-logos/original/filmbox-stars.png
o2-40,Film Europe HD,Film Europe HD,40,https://assets.o2tv.cz/assets/images/tv-logos/original/film-europe-hd.png
o2-41,FilmEurope+,Film Europe +,41,https://assets.o2tv.cz/assets/images/tv-logos/original/film-europe-plus.png
o2-117,FishingandHunting,Fishing and Hunting,117,https://assets.o2tv.cz/assets/images/tv-logos/original/fishing-and-hunting.png
o2-110,Food network,Food network,110,https://assets.o2tv.cz/assets/images/tv-logos/original/food-network.png
o2-148,France 24 Eng,France 24 Eng,148,https://assets.o2tv.cz/assets/images/tv-logos/original/france24eng_202206.png
o2-146,FRANCE 24,FRANCE 24,146,https://assets.o2tv.cz/assets/images/tv-logos/original/france24fr_202206.png
o2-119,Gametoon,GameToon,119,https://assets.o2tv.cz/assets/images/tv-logos/original/gametoon.png
o2-118,Ginx,GINX Esports TV HD,118,https://assets.o2tv.cz/assets/images/tv-logos/original/ginx.png
o2-85,Golf Channel HD,Golf Channel HD,85,https://assets.o2tv.cz/assets/images/tv-logos/original/golf-channel.png
o2-30,HBO HD,HBO HD,30,https://assets.o2tv.cz/assets/images/tv-logos/original/hbo-hd.png
o2-31,HBO2 HD,HBO2 HD,31,https://assets.o2tv.cz/assets/images/tv-logos/original/hbo2-hd.png
o2-32,HBO3 HD,HBO3 HD,32,https://assets.o2tv.cz/assets/images/tv-logos/original/hbo3-hd.png
o2-112,HGTVHD,HGTV HD,112,https://assets.o2tv.cz/assets/images/tv-logos/original/hgtv.png
o2-62,History,History,62,https://assets.o2tv.cz/assets/images/tv-logos/original/history.png
o2-157,CH1 Russia,CH1 Russia,157,https://assets.o2tv.cz/assets/images/tv-logos/original/russia1.png
o2-59,Investigation Discovery,ID,59,https://assets.o2tv.cz/assets/images/tv-logos/original/investigation-discovery.png
o2-46,STV1,Jednotka,46,https://assets.o2tv.cz/assets/images/tv-logos/original/stv.png
o2-42,JoJ Cinema HD,JoJ Cinema HD,42,https://assets.o2tv.cz/assets/images/tv-logos/original/joj-cinema.png
o2-43,JoJ Family HD,JoJ Family HD,43,https://assets.o2tv.cz/assets/images/tv-logos/original/joj-family-hd.png
o2-64,KINO Barrandov,Kino Barrandov,64,https://assets.o2tv.cz/assets/images/tv-logos/original/kino-barrandov.png
o2-666,KRB,KRB,666,https://assets.o2tv.cz/assets/images/tv-logos/original/krb.png
o2-65,Barrandov Plus,Krimi Barrandov,65,https://assets.o2tv.cz/assets/images/tv-logos/original/barrandov-krimi.png
o2-100,LalaTV,Lala TV,100,https://assets.o2tv.cz/assets/images/tv-logos/original/lala-tv.png
o2-187,Letiste,Mall.TV,187,https://assets.o2tv.cz/assets/images/tv-logos/original/letiste.png
